2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 443.955µs | 127.0.0.1 | GET | 200 |/group1/reload?action=get&key=1c2c219e-a392-56b3-d6b8-66ddc754bf9f
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 408.724µs | 127.0.0.1 | POST | 200 |/group1/reload?action=set
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 171.342µs | 127.0.0.1 | GET | 200 |/group1/reload?action=reload&key=1c2c219e-a392-56b3-d6b8-66ddc754bf9f
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 317.564µs | 127.0.0.1 | POST | 200 |/group1/big/upload/
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 1.696279ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 1.78748ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 2.071283ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 1.81045ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 1.79514ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 1.802171ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 1.919852ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 1.83233ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 1.849561ms | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 964.911µs | 127.0.0.1 | PATCH | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
2023-10-26 16:25:26 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:26 | 17.854419ms | 127.0.0.1 | GET | 200 |/group1/big/upload/eda0683d71463c2131c5a0f249935c90
